Serial Number,Title,Page Link,PDF Link,Download Status
37,The Beekeeper,https://www.scriptslug.com/script/the-beekeeper-2024,https://assets.scriptslug.com/live/pdf/scripts/the-beekeeper-2024.pdf?v=1729115008,True
38,Night Nurse,https://www.scriptslug.com/script/night-nurse-1931,https://assets.scriptslug.com/live/pdf/scripts/night-nurse-1931.pdf?v=1729114961,True
39,PopstarNever Stop Never Stopping,https://www.scriptslug.com/script/popstar-never-stop-never-stopping-2016,https://assets.scriptslug.com/live/pdf/scripts/popstar-never-stop-stopping-2016.pdf?v=1729114972,True
40,Gemini Man,https://www.scriptslug.com/script/gemini-man-2019,https://assets.scriptslug.com/live/pdf/scripts/gemini-man-2019.pdf?v=1729114915,True
41,Fantastic BeastsThe Secrets of Dumbledore,https://www.scriptslug.com/script/fantastic-beasts-the-secrets-of-dumbledore-2022,https://assets.scriptslug.com/live/pdf/scripts/fantastic-beasts-the-secrets-of-dumbledore-2022.pdf?v=1729114906,True
42,Fantastic BeastsThe Crimes of Grindelwald,https://www.scriptslug.com/script/fantastic-beasts-the-crimes-of-grindelwald-2018,https://assets.scriptslug.com/live/pdf/scripts/fantastic-beasts-the-crimes-of-grindelwald-2018.pdf?v=1729114906,True
43,Fantastic Beasts and Where to Find Them,https://www.scriptslug.com/script/fantastic-beasts-and-where-to-find-them-2016,https://assets.scriptslug.com/live/pdf/scripts/fantastic-beasts-and-where-to-find-them-2016.pdf?v=1729114906,True
44,The Handmaid's TaleHolly,https://www.scriptslug.com/script/the-handmaids-tale-211-holly-2018,https://assets.scriptslug.com/live/pdf/scripts/the-handmaids-tale-211-holly-2018.pdf?v=1729115020,True
45,Menace II Society,https://www.scriptslug.com/script/menace-ii-society-1993,https://assets.scriptslug.com/live/pdf/scripts/menace-ii-society-1993.pdf?v=1729114952,True
46,The Iron Claw,https://www.scriptslug.com/script/the-iron-claw-2023,https://assets.scriptslug.com/live/pdf/scripts/iron-claw-2023.pdf?v=1729114931,True
47,Ferrari,https://www.scriptslug.com/script/ferrari-2023,https://assets.scriptslug.com/live/pdf/scripts/ferrari-2023.pdf?v=1729114907,True
48,The Color Purple,https://www.scriptslug.com/script/the-color-purple-2023,https://assets.scriptslug.com/live/pdf/scripts/the-color-purple-2023.pdf?v=1729115011,True
49,Napoleon,https://www.scriptslug.com/script/napoleon-2023,https://assets.scriptslug.com/live/pdf/scripts/napoleon-2023.pdf?v=1729114959,True
50,Past Lives,https://www.scriptslug.com/script/past-lives-2023,https://assets.scriptslug.com/live/pdf/scripts/past-lives-2023.pdf?v=1729114969,True
51,The Zone of Interest,https://www.scriptslug.com/script/the-zone-of-interest-2023,https://assets.scriptslug.com/live/pdf/scripts/the-zone-of-interest-2023.pdf?v=1729115047,True
52,Poor Things,https://www.scriptslug.com/script/poor-things-2023,https://assets.scriptslug.com/live/pdf/scripts/poor-things-2023.pdf?v=1729114972,True
53,John WickChapter 4,https://www.scriptslug.com/script/john-wick-chapter-4-2023,https://assets.scriptslug.com/live/pdf/scripts/john-wick-chapter-4-2023.pdf?v=1729114934,True
54,A Good Person,https://www.scriptslug.com/script/a-good-person-2023,https://assets.scriptslug.com/live/pdf/scripts/a-good-person-2023.pdf?v=1729114851,True
55,Origin,https://www.scriptslug.com/script/origin-2023,https://assets.scriptslug.com/live/pdf/scripts/origin-2023.pdf?v=1729114966,True
56,A Million Miles Away,https://www.scriptslug.com/script/a-million-miles-away-2023,https://assets.scriptslug.com/live/pdf/scripts/a-million-miles-away-2023.pdf?v=1729114852,True
57,Dream Scenario,https://www.scriptslug.com/script/dream-scenario-2023,https://assets.scriptslug.com/live/pdf/scripts/dream-scenario-2023.pdf?v=1729114899,True
